threshold,high_rob_count,high_rob_mean,high_rob_mean_lower,high_rob_mean_upper,high_rob_median,high_rob_median_lower,high_rob_median_upper,high_rob_win_rate,high_rob_win_rate_lower,high_rob_win_rate_upper,low_rob_count,low_rob_mean,low_rob_mean_lower,low_rob_mean_upper,low_rob_median,low_rob_median_lower,low_rob_median_upper,low_rob_win_rate,low_rob_win_rate_lower,low_rob_win_rate_upper,outperformance_mean,outperformance_median,portfolio_annual_return,portfolio_sharpe,portfolio_alpha
0.5,80,0.02827515734703312,0.016899654153506923,0.03934796785916222,0.02555982677208679,0.012452908547031738,0.044219997553434975,0.675,0.575,0.775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02827515734703312,0.02555982677208679,0.12637365592230032,1.2387749635348124,0.03825129252686588
0.6,19,0.02757342269985547,0.001231230440111161,0.05618565384905609,0.021285852660832383,0.012011601356236135,0.05809993417903714,0.7894736842105263,0.5789473684210527,0.9473684210526315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02757342269985547,0.021285852660832383,0.01434334168737883,0.21717572812988234,-0.07377902170805561
0.7,19,0.02757342269985547,-0.0019946584726215303,0.054915676481097686,0.021285852660832383,0.012011601356236135,0.05809993417903714,0.7894736842105263,0.5789473684210527,0.9473684210526315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02757342269985547,0.021285852660832383,0.01434334168737883,0.21717572812988234,-0.07377902170805561
0.8,16,0.037570234218499865,0.008404506156465104,0.06537388420920444,0.03196749470511928,0.0157150280339343,0.059976808477081756,0.8125,0.625,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037570234218499865,0.03196749470511928,0.015031173465934522,0.22180787409644792,-0.07309118992949992
0.9,8,0.05742150760028332,0.027007518132630078,0.09221500983207366,0.048594406547691316,0.019110372046153623,0.10141797601119817,0.875,0.625,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05742150760028332,0.048594406547691316,0.06996161292160474,1.3400318003395169,-0.0181607504738297
